ID,Soil_pH,Organic_C (%),Total_N (%),C_N_Ratio,Land_Use_Type,Soil_Depth_cm,Bacteria_Abundance (%),Fungi_Abundance (%),β_Glucosidase (µmol/g/h),Urease (µmol/g/h),CO2_Emission (µg/g/day),NH4_Nitrate (µg/g)
1,6.25,3.03,0.107,28.3,Traditional,10–20,55.26,39.37,5.45,8.43,55.0,126.57
2,7.4,2.84,0.142,20.0,Traditional,0–10,34.82,20.57,5.35,10.53,54.14,161.8
3,6.96,2.23,0.07,31.9,Organic,10–20,36.08,29.18,4.78,6.15,51.12,90.11
4,6.7,2.73,0.139,19.6,Organic,0–10,41.93,20.67,5.2,10.26,53.69,159.02
5,5.81,2.28,0.091,25.1,Traditional,0–10,56.88,33.64,4.78,7.45,51.31,111.35
6,5.81,3.3,0.106,31.1,Monoculture,10–20,39.62,40.87,5.7,8.35,56.53,126.31
7,5.62,3.92,0.146,26.8,Monoculture,0–10,56.35,38.52,6.21,10.71,59.59,166.04
8,7.23,3.75,0.227,16.5,Organic,0–10,54.35,41.4,5.95,15.6,58.87,247.19
9,6.7,2.19,0.166,13.2,Traditional,0–10,31.21,44.46,4.71,11.94,50.93,186.13
10,6.92,2.78,0.054,51.5,Traditional,0–10,36.38,20.87,5.26,5.28,53.84,74.3
11,5.54,1.04,0.079,13.2,Monoculture,0–10,35.67,40.18,3.81,6.76,45.09,99.12
12,7.44,4.05,0.063,64.3,Traditional,10–20,39.71,38.89,6.24,5.74,60.17,82.86
13,7.16,1.86,0.087,21.4,Monoculture,10–20,52.22,25.71,4.54,7.13,49.39,106.64
14,5.92,2.54,0.119,21.3,Monoculture,10–20,33.37,20.02,5.03,9.28,52.64,138.86
15,5.86,1.53,0.085,18.0,Organic,0–10,50.53,29.77,4.27,7.15,47.77,105.26
16,5.87,3.37,0.142,23.7,Organic,0–10,35.29,48.98,5.7,10.56,56.88,162.13
17,6.11,2.91,0.215,13.5,Monoculture,0–10,56.46,30.9,5.39,14.93,54.47,234.79
18,6.55,2.28,0.215,10.6,Traditional,10–20,46.25,31.06,4.85,14.94,51.67,235.45
19,6.36,2.87,0.118,24.3,Monoculture,10–20,39.98,43.78,5.34,9.11,54.28,137.79
20,6.08,1.59,0.115,13.8,Organic,10–20,41.84,43.45,4.26,8.88,47.99,135.18
21,6.72,3.71,0.199,18.6,Monoculture,10–20,36.5,26.68,5.88,13.95,58.58,218.76
22,5.78,1.93,0.133,14.5,Monoculture,0–10,36.08,40.69,4.47,10.03,49.63,153.44
23,6.08,3.15,0.244,12.9,Monoculture,10–20,47.4,41.38,5.48,16.63,55.75,263.95
24,6.23,4.15,0.139,29.9,Organic,10–20,33.42,47.78,6.24,10.37,60.91,158.92
25,6.41,1.14,0.099,11.5,Organic,0–10,46.07,22.2,3.84,8.05,45.75,119.44
26,7.07,2.36,0.052,45.4,Monoculture,0–10,52.11,24.04,4.93,5.06,51.74,71.93
27,5.9,1.47,0.241,6.1,Traditional,10–20,48.45,38.73,4.33,16.5,47.27,260.71
28,6.53,4.18,0.074,56.5,Organic,10–20,40.39,47.1,6.37,6.49,61.04,94.04
